Network Type,Band,Num_Carriers,SINR,RB,TH_CWD0,TH_CWD1,ANT,TRANS,RANK,BLER,CQI_CWD0,CQI_CWD1,MCS_CWD0,MCS_CWD1
CX,U,4,8.8,100,10.99,0.88,2x2,4,1,6.4,9,0,,
CX,L,4,11.3,73,30.58,36.79,4x4,4,2,8.8,8,8,64QAM,64QAM
CX,U,4,6.7,0,,,,,,0,5,3,,
CX,U,4,10,100,25.8,8.3,2x2,4,2,11.7,6,2,,
CX,U,4,9.6,100,8.59,1.54,2x2,4,1,4.7,8,1,,
CX,L,4,8.8,72,29.67,34.62,4x4,4,,10.8,8,8,64QAM,64QAM
CX,U,4,5,0,,,,,,0,7,4,,
CX,U,4,11,100,21.53,8.88,2x2,4,1,8.2,5,2,,
CX,U,4,9.4,100,6.95,5.04,2x2,4,1,8.3,4,2,,
CX,L,4,14.8,73,27.4,41.88,4x4,4,,8.6,8,9,64QAM,64QAM
CX,U,4,8.4,0,,,,,,0,9,0,,
CX,U,4,12.3,100,32.52,4.81,2x2,4,1,12.3,8,1,,
CX,U,4,11.8,100,16.47,0.63,2x2,4,1,4.5,8,0,,
CX,L,4,15.8,73,29.71,37.56,4x4,4,2,9.5,8,7,64QAM,64QAM
CX,U,4,6.8,0,,,,,,0,9,5,,
CX,U,4,13.2,100,22.92,4.65,2x2,4,2,9.3,6,3,,
CX,U,4,10.7,100,16.81,0.2,2x2,4,1,6.1,9,0,,
CX,L,4,13.4,72,34.03,37.62,4x4,4,2,7.9,8,8,64QAM,64QAM
CX,U,4,6.4,0,,,,,,0,9,3,,
CX,U,4,12,100,33.72,1.74,2x2,4,1,10.1,8,1,,
CX,U,4,10.7,100,16.56,1.67,2x2,4,1,20.2,9,0,,
CX,L,4,12,69,31.32,31.7,4x4,4,2,9.1,9,9,256QAM,256QAM
CX,U,4,8.2,0,,,,,,0,9,0,,
CX,U,4,13.2,100,31.65,5.45,2x2,4,1,11.9,8,2,,
CX,U,4,11.9,100,16.7,0.16,2x2,4,1,15.4,10,0,,
CX,L,4,11.8,73,30.86,35.69,4x4,4,2,9,7,7,64QAM,64QAM
CX,U,4,12.8,0,,,,,,0,11,1,,
CX,U,4,14,100,32.11,16.49,2x2,4,2,10.6,8,4,,
CX,U,4,14,100,17.45,0,2x2,4,1,19.1,9,0,,
CX,L,4,13.3,73,34.22,31.29,4x4,4,2,8.2,9,8,256QAM,256QAM
CX,U,4,12.2,0,,,,,,0,10,2,,
CX,U,4,13.2,100,34.91,14.04,2x2,4,1,11.1,8,2,,
CX,U,4,13.8,100,16.61,0,2x2,4,1,16.3,10,0,,
CX,L,4,12.2,72,28.03,33.34,4x4,4,2,9.8,8,8,64QAM,64QAM
CX,U,4,13,0,,,,,,0,10,1,,
CX,U,4,13,100,36.03,0.56,2x2,4,1,10.8,9,0,,
CX,U,4,11.7,100,16.01,0.08,2x2,4,1,20.3,9,1,,
CX,L,4,9.7,73,30.36,26.86,4x4,4,2,9.1,7,6,64QAM,64QAM
CX,U,4,4.1,0,,,,,,0,8,4,,
CX,U,4,14.2,100,37.95,0.25,2x2,4,1,11,10,0,,
CX,U,4,12.9,100,19.07,0,2x2,4,1,21.9,10,0,,
CX,L,4,10.4,73,29.73,28.17,4x4,4,2,8.5,7,7,64QAM,64QAM
CX,U,4,14.5,0,,,,,,0,8,4,,
CX,U,4,14,100,35.77,4.33,2x2,4,2,9.6,9,1,,
CX,U,4,13.2,100,21.92,0,2x2,4,1,15.8,11,0,,
CX,L,4,11.5,60,22.77,23.05,4x4,4,2,10.1,7,7,64QAM,64QAM
CX,U,4,13.5,84,27.48,6.33,2x2,4,2,10.2,8,1,,
CX,U,4,12.7,87,18.48,0,2x2,4,1,15.5,7,0,,
CX,L,4,10.1,73,27.83,26.94,2x4,4,2,8.1,7,7,64QAM,64QAM
CX,U,4,13.9,0,,,,,,0,5,2,,
CX,U,4,14.1,100,31.31,3.79,2x2,4,2,9.6,7,1,,
CX,U,4,12.7,100,42.33,0,2x2,4,1,6.1,10,0,,
CX,L,4,11.2,68,27.01,27.03,4x4,4,2,10.6,8,8,256QAM,64QAM
CX,U,4,14,0,,,,,,0,9,1,,
CX,U,4,12.5,100,26.05,9.43,2x2,4,2,10.1,7,4,,
CX,U,4,11.8,100,42.1,0,2x2,4,1,9.7,9,0,,
CX,L,4,13.5,73,31.08,32.47,4x4,4,2,8.8,9,8,64QAM,64QAM
CX,U,4,13.2,0,,,,,,0,7,4,,
CX,U,4,12.1,100,30.92,6.47,2x2,4,1,10.3,7,2,,
CX,U,4,11.9,100,39.62,0.32,2x2,4,1,7.4,10,0,,
CX,L,4,12.7,70,30.75,29.48,4x4,4,2,9,9,8,256QAM,64QAM
CX,U,4,12.1,90,30.66,3.6,2x2,4,2,11.5,8,0,,
CX,U,4,12.7,91,34.1,4.82,2x2,4,1,10,9,1,,
CX,L,4,12,73,30.78,34.42,4x4,4,2,9.8,8,8,64QAM,256QAM
CX,U,4,13.8,0,,,,,,0,9,4,,
CX,U,4,10.9,100,36.85,1.99,2x2,4,1,11.4,9,0,,
CX,U,4,12.5,100,34.97,2.87,2x2,4,1,8.7,8,2,,
CX,L,4,12.9,66,34.09,34.75,4x4,4,2,9.6,10,9,256QAM,256QAM
CX,U,4,10.5,98,32.79,6.28,2x2,4,1,11.2,8,1,,
CX,U,4,12.2,98,25.47,5.98,2x2,4,1,7.6,8,1,,
CX,L,4,13.1,73,36.34,36.35,4x4,4,2,9.1,10,9,256QAM,256QAM
CX,U,4,11.7,0,,,,,,0,8,6,,
CX,U,4,10.4,99,32.44,0,2x2,4,1,10.3,9,0,,
CX,U,4,12.6,99,31.77,0,2x2,4,1,10.4,9,0,,
CX,L,4,11.6,73,37.19,37.56,4x4,4,2,9.1,9,8,256QAM,256QAM
CX,U,4,11.9,0,,,,,,0,7,4,,
CX,U,4,9.4,99,38.63,0,2x2,4,1,11.2,10,0,,
CX,U,4,13.1,99,29.79,0.39,2x2,4,2,7.6,8,0,,
CX,L,4,11.7,73,34.57,34.93,4x4,4,2,9,9,8,256QAM,256QAM
CX,U,4,9.5,99,39.38,0.49,2x2,4,1,11.4,9,0,,
CX,U,4,12.4,99,32.07,2.93,2x2,4,2,8.5,8,0,,
CX,L,4,13.9,61,33.43,31.3,4x4,4,2,9.5,10,10,256QAM,256QAM
CX,U,4,12.1,0,,,,,,0,7,4,,
CX,U,4,9.2,99,32.28,4.85,2x2,4,1,12,8,1,,
CX,U,4,12,98,25.43,8.99,2x2,4,2,9.7,6,2,,
